2025-06-29 20:48:03 [INFO] [ForgeModLoader] Forge Mod Loader version 6.4.50.1,345 for Minecraft 1.6.4 loading
2025-06-29 20:48:03 [INFO] [ForgeModLoader] Java is Java HotSpot(TM) 64-Bit Server VM, version 1.8.0_202, running on Windows 10:amd64:10.0, installed at C:\Program Files\Java\jre1.8.0_202
2025-06-29 20:48:03 [FINE] [ForgeModLoader] Java classpath at launch is minecraftforge-universal-1.6.4-9.11.1.1345.jar
2025-06-29 20:48:03 [FINE] [ForgeModLoader] Java library path at launch is C:\Program Files\Java\jre1.8.0_202\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\Program Files\Python310\Scripts\;C:\Program Files\Python310\;C:\Program Files\ImageMagick-7.1.1-Q16-HDRI;C:\Program Files (x86)\Common Files\Intel\Shared Libraries\redist\intel64\compiler;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\Program Files\Neovim\bin;C:\Program Files\dotnet\;C:\Program Files\Common Files\Autodesk Shared\;C:\Program Files\NVIDIA Corporation\NVIDIA app\NvDLISR;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\Program Files\Git\cmd;C:\Users\OseanMan\AppData\Local\Microsoft\WindowsApps;C:\Users\OseanMan\AppData\Local\Microsoft\WinGet\Links;C:\Users\OseanMan\AppData\Local\atom\bin;C:\Users\OseanMan\AppData\Local\Programs\Microsoft VS Code\bin;.
2025-06-29 20:48:03 [FINE] [ForgeModLoader] Enabling runtime deobfuscation
2025-06-29 20:48:03 [FINE] [ForgeModLoader] Instantiating coremod class FMLCorePlugin
2025-06-29 20:48:03 [FINE] [ForgeModLoader] Enqueued coremod FMLCorePlugin
2025-06-29 20:48:03 [FINE] [ForgeModLoader] Instantiating coremod class FMLForgePlugin
2025-06-29 20:48:03 [FINE] [ForgeModLoader] Enqueued coremod FMLForgePlugin
2025-06-29 20:48:03 [FINE] [ForgeModLoader] All fundamental core mods are successfully located
2025-06-29 20:48:03 [FINE] [ForgeModLoader] Discovering coremods
2025-06-29 20:48:03 [FINE] [ForgeModLoader] Examining for coremod candidacy Backpack-1.28.37-1.6.x.jar
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockComparator.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockCrops.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockDoor.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockFarmland.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockFire.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockFlower.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockFlowing.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockFluid.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockGrass.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockLadder.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockLeaves.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockLever.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockLog.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockMobSpawner.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockMushroom.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockMycelium.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockNetherStalk.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockOre.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockPane.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockPistonBase.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockPortal.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockPumpkin.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockRailBase.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockRedstoneOre.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockRedstoneWire.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockReed.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockSand.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockSapling.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockSkull.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockSnow.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockStem.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockTallGrass.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockTorch.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockTrapDoor.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockTripWireSource.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockVine.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.ClientBrandRetriever.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.Minecraft.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.audio.SoundManager.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.entity.EntityOtherPlayerMP.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.entity.EntityPlayerSP.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.gui.GuiChat.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.gui.GuiControls.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.gui.GuiCreateWorld.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.gui.GuiIngame.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.gui.GuiMainMenu.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.gui.GuiSlot.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.gui.achievement.GuiAchievements.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.gui.inventory.GuiContainer.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.gui.inventory.GuiContainerCreative.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.model.ModelBase.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.model.ModelBox.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.model.ModelRenderer.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.model.PositionTextureVertex.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.model.TexturedQuad.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.multiplayer.ChunkProviderClient.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.multiplayer.GuiConnecting.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.multiplayer.NetClientHandler.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.multiplayer.PlayerControllerMP.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.multiplayer.WorldClient.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.particle.EffectRenderer.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.particle.EntityDiggingFX.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.particle.EntityFireworkStarterFX.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.renderer.EntityRenderer.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.renderer.ItemRenderer.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.renderer.OpenGlHelper.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.renderer.RenderBlocks.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.renderer.RenderGlobal.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.renderer.Tessellator.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.renderer.WorldRenderer.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.renderer.entity.RenderBiped.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.renderer.entity.RenderItem.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.renderer.entity.RenderManager.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.renderer.entity.RenderPlayer.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.renderer.entity.RenderSnowMan.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.renderer.entity.RenderVillager.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.renderer.entity.RendererLivingEntity.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.renderer.texture.Stitcher.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.renderer.texture.TextureAtlasSprite.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.renderer.texture.TextureMap.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.renderer.tileentity.TileEntityChestRenderer.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.resources.LanguageManager.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.settings.GameSettings.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.command.CommandHandler.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.crash.CallableSuspiciousClasses.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.crash.CrashReport.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.crash.CrashReportCategory.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.creativetab.CreativeTabs.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.enchantment.Enchantment.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.enchantment.EnchantmentHelper.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.Entity.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.EntityList.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.EntityLiving.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.EntityLivingBase.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.EntityTracker.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.EntityTrackerEntry.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.ai.EntityAIAttackOnCollide.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.boss.EntityDragon.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.boss.EntityWither.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.boss.IBossDisplayData.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.effect.EntityLightningBolt.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.item.EntityEnderPearl.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.item.EntityItem.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.item.EntityMinecart.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.item.EntityMinecartContainer.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.item.EntityMinecartEmpty.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.item.EntityMinecartFurnace.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.item.EntityMinecartHopper.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.monster.EntityEnderman.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.monster.EntitySlime.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.monster.EntityZombie.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.passive.EntityMooshroom.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.passive.EntityOcelot.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.passive.EntitySheep.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.passive.EntityVillager.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.player.EntityPlayer.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.player.EntityPlayerMP.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.player.InventoryPlayer.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.inventory.ContainerEnchantment.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.inventory.ContainerFurnace.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.inventory.ContainerRepair.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.inventory.Slot.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.inventory.SlotArmor.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.inventory.SlotBrewingStandIngredient.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.inventory.SlotBrewingStandPotion.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.inventory.SlotCrafting.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.inventory.SlotFurnace.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.BehaviorDispenseArmor.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.EnumArmorMaterial.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.EnumRarity.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.EnumToolMaterial.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.Item.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.ItemArmor.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.ItemBlock.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.ItemBow.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.ItemBucket.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.ItemBucketMilk.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.ItemDye.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.ItemEmptyMap.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.ItemFlintAndSteel.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.ItemHoe.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.ItemInWorldManager.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.ItemMap.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.ItemSeedFood.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.ItemSeeds.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.ItemShears.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.ItemStack.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.ItemTool.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.crafting.CraftingManager.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.crafting.FurnaceRecipes.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.crafting.RecipeFireworks.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.logging.LogAgent.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.nbt.CompressedStreamTools.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.nbt.NBTTagList.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.network.MemoryConnection.binpatch
